"","datetime","comp_level_ft","temperature","conductivity"
"85",2025-05-11 00:45:00,1.83556798304373,25.066,24269.2
"86",2025-05-11 01:00:00,1.83556798304373,25.008,24211.1
"87",2025-05-11 01:15:00,1.8400034573036,24.96,24144
"88",2025-05-11 01:30:00,1.83737878538759,24.927,24100.4
"89",2025-05-11 01:45:00,1.83803495336659,24.902,24060.3
"90",2025-05-11 02:00:00,1.83639453341908,24.871,24176.7
"91",2025-05-11 02:15:00,1.83606644942958,24.833,24130.7
"92",2025-05-11 02:30:00,1.83114518958706,24.808,24077.1
"93",2025-05-11 02:45:00,1.83442602948207,24.814,24061.9
"94",2025-05-11 03:00:00,1.83639453341908,24.798,24030.6
"95",2025-05-11 03:15:00,1.83689299980493,24.788,23995.6
"96",2025-05-11 03:30:00,1.84067230608579,24.762,23938.4
"97",2025-05-11 03:45:00,1.84215502444015,24.844,23981.6
"98",2025-05-11 04:00:00,1.83624951262912,24.922,24058.7
"99",2025-05-11 04:15:00,1.83854610055563,24.819,23991.7
"100",2025-05-11 04:30:00,1.84182694045064,24.679,23840.6
"101",2025-05-11 04:45:00,1.83935997012779,24.528,23700.7
"102",2025-05-11 05:00:00,1.84592164991781,24.394,23586.2
"103",2025-05-11 05:15:00,1.84428122997031,24.272,23447.1
"104",2025-05-11 05:30:00,1.84953057380233,24.164,23335.9
"105",2025-05-11 05:45:00,1.85051482577084,24.067,23230
"106",2025-05-11 06:00:00,1.84854632183382,23.995,23160.5
"107",2025-05-11 06:15:00,1.85018674178134,23.946,23083.8
"108",2025-05-11 06:30:00,1.84657781789682,24.024,23099.7
"109",2025-05-11 06:45:00,1.84756206986533,24.153,23183.1
"110",2025-05-11 07:00:00,1.83853341975244,24.282,23295.7
"111",2025-05-11 07:15:00,1.83311369352407,24.366,23395.2
"112",2025-05-11 07:30:00,1.83672261740858,24.395,23451
"113",2025-05-11 07:45:00,1.83327139511722,24.391,23413.4
"114",2025-05-11 08:00:00,1.83917690692824,24.397,23427
"115",2025-05-11 08:15:00,1.83605376862638,24.401,23439.7
"116",2025-05-11 08:30:00,1.84556820432192,24.362,23390.3
"117",2025-05-11 08:45:00,1.84950521219594,24.138,23190.7
"118",2025-05-11 09:00:00,1.85508264001746,23.828,22934
"119",2025-05-11 09:15:00,1.8516314177261,23.621,22730.3
"120",2025-05-11 09:30:00,1.85589650958962,23.497,22619.8
"121",2025-05-11 09:45:00,1.86180202140064,23.461,22639.7
"122",2025-05-11 10:00:00,1.85933505107779,23.464,22621.2
"123",2025-05-11 10:15:00,1.8636001429413,23.509,22760.9
"124",2025-05-11 10:30:00,1.85227490490191,23.596,22755.3
"125",2025-05-11 10:45:00,1.85194682091241,23.696,22891.7
"126",2025-05-11 11:00:00,1.85391532484942,23.752,22944.3
"127",2025-05-11 11:15:00,1.85522766080743,23.786,22980.6
"128",2025-05-11 11:30:00,1.85522766080743,23.908,23148
"129",2025-05-11 11:45:00,1.85096256894391,24.083,23353.9
"130",2025-05-11 12:00:00,1.84669747708039,24.286,23532.8
"131",2025-05-11 12:15:00,1.83849537734286,24.491,23756.1
"132",2025-05-11 12:30:00,1.83258986553184,24.685,23964.4
"133",2025-05-11 12:45:00,1.8366972558022,24.867,24178.4
"134",2025-05-11 13:00:00,1.82915132404366,25.002,24329.4
"135",2025-05-11 13:15:00,1.83096212638752,25.113,24458.3
"136",2025-05-11 13:30:00,1.82472853058699,25.227,24592.7
"137",2025-05-11 13:45:00,1.81849493478647,25.372,24761.6
"138",2025-05-11 14:00:00,1.82128998909883,25.527,24921.6
"139",2025-05-11 14:15:00,1.81046321744528,25.668,25089.2
"140",2025-05-11 14:30:00,1.81424252372614,25.775,25393
"141",2025-05-11 14:45:00,1.81047589824848,25.837,25699.2
"142",2025-05-11 15:00:00,1.80063337856344,25.961,25490.1
"143",2025-05-11 15:15:00,1.79817908904378,26.115,25723.4
"144",2025-05-11 15:30:00,1.80261456330364,26.159,25716.6
"145",2025-05-11 15:45:00,1.79769330346112,26.187,26033.7
"146",2025-05-11 16:00:00,1.79720751787846,26.229,25811.9
"147",2025-05-11 16:15:00,1.80098682415933,26.269,26119.3
"148",2025-05-11 16:30:00,1.80050103857668,26.311,25950.4
"149",2025-05-11 16:45:00,1.79590786272366,26.308,26013.4
"150",2025-05-11 17:00:00,1.79065851889164,26.258,25916
"151",2025-05-11 17:15:00,1.7937816571935,26.258,25928.4
"152",2025-05-11 17:30:00,1.78951656532999,26.14,25817.1
"153",2025-05-11 17:45:00,1.8077315671489,26.088,25777.8
"154",2025-05-11 18:00:00,1.80510689523289,26.053,25751.9
"155",2025-05-11 18:15:00,1.79887329943237,25.965,25647.7
"156",2025-05-11 18:30:00,1.79821713145337,25.936,25580.1
"157",2025-05-11 18:45:00,1.79788904746386,25.993,25715.3
